#META
name = Problem 4
k = 50000
N = 280
#NODES
1  (288,149)    (12,89)  
2  (288,129)    (1,101)  
3  (270,133)    (2,202)  
4  (256,141)    (4,404)  
5  (256,157)    (2,202)  
6  (246,157)    (896,996)  
7  (236,169)    (1792,1992)  
8  (228,169)    (3584,3984)  
9  (228,161)    (367,467)  
10  (220,169)    (734,934)  
11  (212,169)    (1468,1868)  
12  (204,169)    (690,790)  
13  (196,169)    (690,790)  
14  (188,169)    (613,713)  
15  (196,161)    (1226,1426)  
16  (188,145)    (2452,2852)  
17  (172,145)    (874,974)  
18  (164,145)    (874,974)  
19  (156,145)    (122,222)  
20  (148,145)    (244,444)  
21  (140,145)    (488,888)  
22  (148,169)    (366,666)  
23  (164,169)    (486,586)  
24  (172,169)    (972,1172)  
25  (156,169)    (972,1172)  
26  (140,169)    (823,923)  
27  (132,169)    (823,923)  
28  (124,169)    (463,563)  
29  (116,161)    (926,1126)  
30  (104,153)    (463,563)  
31  (104,161)    (589,689)  
32  (104,169)    (1178,1378)  
33  (90,165)    (1178,1378)  
34  (80,157)    (325,425)  
35  (64,157)    (650,850)  
36  (64,165)    (1300,1700)  
37  (56,169)    (975,1275)  
38  (56,161)    (1000,1100)  
39  (56,153)    (2000,2200)  
40  (56,145)    (4000,4400)  
41  (56,137)    (776,876)  
42  (56,129)    (1552,1752)  
43  (56,121)    (2328,2628)  
44  (40,121)    (123,223)  
45  (40,129)    (356,456)  
46  (40,137)    (305,405)  
47  (40,145)    (610,810)  
48  (40,153)    (1220,1620)  
49  (40,161)    (305,405)  
50  (40,169)    (47,147)  
51  (32,169)    (94,294)  
52  (32,161)    (188,588)  
53  (32,153)    (645,745)  
54  (32,145)    (1290,1490)  
55  (32,137)    (2580,2980)  
56  (32,129)    (1290,1490)  
57  (32,121)    (139,239)  
58  (32,113)    (247,347)  
59  (40,113)    (494,694)  
60  (56,113)    (988,1388)  
61  (56,105)    (741,1041)  
62  (48,99)    (211,311)  
63  (40,99)    (422,622)  
64  (32,97)    (844,1244)  
65  (32,89)    (633,933)  
66  (24,89)    (100,200)  
67  (16,97)    (200,400)  
68  (16,109)    (400,800)  
69  (8,109)    (100,200)  
70  (8,97)    (627,727)  
71  (8,89)    (1254,1454)  
72  (8,81)    (1254,1454)  
73  (8,73)    (760,860)  
74  (8,65)    (1520,1720)  
75  (8,57)    (776,876)  
76  (16,57)    (1552,1752)  
77  (8,49)    (3104,3504)  
78  (8,41)    (475,575)  
79  (24,45)    (950,1150)  
80  (32,41)    (1900,2300)  
81  (32,49)    (937,1037)  
82  (32,57)    (1874,2074)  
83  (32,65)    (3748,4148)  
84  (32,73)    (937,1037)  
85  (32,81)    (101,201)  
86  (40,83)    (202,402)  
87  (40,73)    (404,804)  
88  (40,63)    (202,402)  
89  (40,51)    (281,381)  
90  (44,43)    (562,762)  
91  (44,35)    (1124,1524)  
92  (44,27)    (562,762)  
93  (32,25)    (751,851)  
94  (24,25)    (1502,1702)  
95  (16,25)    (3004,3404)  
96  (16,17)    (1502,1702)  
97  (24,17)    (530,630)  
98  (32,17)    (1060,1260)  
99  (44,11)    (2120,2520)  
100  (56,9)    (240,340)  
101  (56,17)    (480,680)  
102  (56,25)    (480,680)  
103  (56,33)    (248,348)  
104  (56,41)    (496,696)  
105  (64,41)    (744,1044)  
106  (72,41)    (768,868)  
107  (72,49)    (31,131)  
108  (56,49)    (62,262)  
109  (48,51)    (31,131)  
110  (56,57)    (613,713)  
111  (56,65)    (1226,1426)  
112  (48,63)    (2452,2852)  
113  (48,73)    (613,713)  
114  (56,73)    (881,981)  
115  (56,81)    (1762,1962)  
116  (48,83)    (1762,1962)  
117  (56,89)    (367,467)  
118  (56,97)    (734,934)  
119  (104,97)    (1468,1868)  
120  (104,105)    (367,467)  
121  (104,113)    (712,812)  
122  (104,121)    (410,510)  
123  (104,129)    (820,1020)  
124  (104,137)    (1640,2040)  
125  (104,145)    (410,510)  
126  (116,145)    (157,257)  
127  (124,145)    (314,514)  
128  (132,145)    (628,1028)  
129  (132,137)    (471,771)  
130  (140,137)    (824,924)  
131  (148,137)    (242,342)  
132  (156,137)    (472,572)  
133  (164,137)    (944,1144)  
134  (172,125)    (1416,1716)  
135  (172,117)    (722,822)  
136  (172,109)    (1444,1644)  
137  (172,101)    (2888,3288)  
138  (172,93)    (775,875)  
139  (172,85)    (775,875)  
140  (180,85)    (371,471)  
